gene_set	p-value	q-value	enrich_description
GSE11367_CTRL_VS_IL17_TREATED_SMOOTH_MUSCLE_CELL_UP	0.00025475129292088617	0.0024080505722244346	(17776, 158, 99, 6, 'TMEM116;HOXA13;SPATA2L;UHRF2;CNNM2;LRP5')
GSE24972_MARGINAL_ZONE_BCELL_VS_FOLLICULAR_BCELL_IRF8_KO_UP	0.00025713860645926954	0.0024080505722244346	(17776, 158, 140, 7, 'IRF1;ACAD10;DEF8;HOXA11;GATA4;APOBR;TCHH')
GSE16385_MONOCYTE_VS_12H_IFNG_TNF_TREATED_MACROPHAGE_UP	0.00025713860645926954	0.0024080505722244346	(17776, 158, 140, 7, 'FADS2;SEPT9;IQCH;L3MBTL3;PSMA4;RHOA;USP4;PTPN22')
GSE43955_1H_VS_60H_ACT_CD4_TCELL_UP	0.00025713860645926954	0.0024080505722244346	(17776, 158, 140, 7, 'CDKN2B;SMAD3;IL18R1;PAM;NDUFS3;CSF2;MTCH2')
GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_52H_UP	0.00025713860645926954	0.0024080505722244346	(17776, 158, 140, 7, 'UBA7;ZNF259;TRAIP;PML;TRIM27;MTMR9;CUX2')
LHX3_01	0.000253067516144842	0.0024080505722244346	(17776, 158, 185, 8, 'CASZ1;TRPM8;HHIP;SIX1;TNRC6A;PITX2;RREB1;NPR3')
GSE3982_MEMORY_CD4_TCELL_VS_TH1_UP	0.00025713860645926954	0.0024080505722244346	(17776, 158, 140, 7, 'MPHOSPH9;SEPT9;TNKS;FOXO3;JMJD1C;RSBN1;RPL6')
GSE22886_IGM_MEMORY_BCELL_VS_BM_PLASMA_CELL_UP	0.00025713860645926954	0.0024080505722244346	(17776, 158, 140, 7, 'CORO1A;IKZF3;RBM5;BACH2;LSP1;STAT6;RBL2')
RREB1_01	0.00025713860645926954	0.0024080505722244346	(17776, 158, 140, 7, 'CASZ1;LRP1;IL27;FES;NPR3;RERE;CELF4')
GSE15330_HSC_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_IKAROS_KO_DN	0.00025713860645926954	0.0024080505722244346	(17776, 158, 140, 7, 'MSRA;CLDN23;APOB;IGF2R;PDLIM4;FAM184B;CUX2')
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	0.00025713860645926954	0.0024080505722244346	(17776, 158, 140, 7, 'SMAD3;FTO;CCND2;PKN2;NHLRC2;SLC22A4;SLC19A2')
GSE360_L_DONOVANI_VS_B_MALAYI_LOW_DOSE_MAC_DN	0.00025713860645926954	0.0024080505722244346	(17776, 158, 140, 7, 'ACP2;CHMP1A;PTCH1;SH2B3;ATXN2;LDLR;RERE')
RAO_BOUND_BY_SALL4_ISOFORM_A	0.00025713860645926954	0.0024080505722244346	(17776, 158, 140, 7, 'MAPT;RSPO3;PKN2;NFAT5;PITX2;SGK223;CDKN2A')
GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_IRF4MID_BCELL_UP	0.00025713860645926954	0.0024080505722244346	(17776, 158, 140, 7, 'ADRB1;TET2;IGF2BP2;ACSL6;CCND2;HNF1B;MFHAS1')
GSE36826_WT_VS_IL1R_KO_SKIN_UP	0.00025713860645926954	0.0024080505722244346	(17776, 158, 140, 7, 'NR1H3;FOXO3;TCF4;NUPR1;MST1;APOC1;APOE')
GSE27670_BLIMP1_VS_LMP1_TRANSDUCED_GC_BCELL_DN	0.00025713860645926954	0.0024080505722244346	(17776, 158, 140, 7, 'MPHOSPH9;LIMA1;FOXO3;BCL7C;SLC39A8;NCOA6;MTHFR')
GSE360_DC_VS_MAC_M_TUBERCULOSIS_UP	0.00025713860645926954	0.0024080505722244346	(17776, 158, 140, 7, 'UBA7;MAPKAPK5;MAP3K4;IRF1;BSN;CCR7;TAOK2;TRAFD1')
GSE11924_TFH_VS_TH2_CD4_TCELL_DN	0.00025713860645926954	0.0024080505722244346	(17776, 158, 140, 7, 'TMEM219;CLPTM1L;GPN1;RSPO3;RIOK3;GMPPB;RPL6')
ATCTTGC_MIR31	0.0002604743289056382	0.0024372164691909884	(17776, 158, 64, 5, 'BACH2;SEMA3F;UHRF2;RSBN1;RHOA')
PR_Q2	0.00026247605803502653	0.0024497023958811415	(17776, 158, 186, 8, 'ADCY3;WNT3;IKZF4;JMJD1C;LRP5;CEP120;RERE;KCNK3')
LEF1_Q6	0.00026247605803502653	0.0024497023958811415	(17776, 158, 186, 8, 'WNT3;TCF7L2;SIX1;EIF2B4;CDK6;SUOX;BCL7C;PTPRJ')
CEBPGAMMA_Q6	0.00026247605803502653	0.0024497023958811415	(17776, 158, 186, 8, 'CASZ1;SMARCE1;FES;CDK6;JMJD1C;CSF2;NPR3;IL3')
GSE8384_CTRL_VS_B_ABORTUS_4H_MAC_CELL_LINE_DN	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'BCL3;SH2B1;SURF4;IL18RAP;HMGCR;FURIN;GMPPB')
GSE36009_UNSTIM_VS_LPS_STIM_NLRP10_KO_DC_DN	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'SGK223;RBM5;GPN1;SH2B1;CDK6;PML;PTPN11')
GSE28726_NAIVE_CD4_TCELL_VS_NAIVE_NKTCELL_UP	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'FEN1;IL18R1;ZNF259;MKLN1;ATXN2;IRF4;GPX1')
GSE25088_CTRL_VS_IL4_STIM_MACROPHAGE_DN	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'TMEM219;IL18R1;MAN2A2;MAPK3;NUPR1;C8orf74;FLG')
GSE43955_1H_VS_20H_ACT_CD4_TCELL_WITH_TGFB_IL6_DN	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'CLPTM1L;PAM;CCR7;NUPR1;ATXN2;APOC1;CDKN2A')
GSE26351_WNT_VS_BMP_PATHWAY_STIM_HEMATOPOIETIC_PROGENITORS_DN	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'MADD;C11orf30;ZNF513;CDK10;AAGAB;RABEP2;MAP3K4')
GSE15930_STIM_VS_STIM_AND_IFNAB_24H_CD8_T_CELL_DN	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'MAPKAPK5;CLPTM1L;MTHFR;EIF2B4;CELF1;RERE;KCNK3')
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_ADULT_DN	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'MAPKAPK5;ATP1B1;IKZF4;PHTF1;MST1R;CDK6;RHOA;CAMKV')
GSE7568_CTRL_VS_3H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_UP	0.0002690458950197499	0.0024548487504991766	(17776, 158, 100, 6, 'CASZ1;OGFOD2;FAM184B;CDKN2A;GPX1;CAMKV')
GSE21360_PRIMARY_VS_TERTIARY_MEMORY_CD8_TCELL_DN	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'PVRL2;ATP1B1;IRF1;RERE;IRF4;NPC1;TRAFD1')
GSE17721_CTRL_VS_CPG_24H_BMDC_UP	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'CLPTM1L;F5;ACSL6;FOXO3;ACAD10;APOBR;CELF4')
GSE39152_CD103_NEG_VS_POS_MEMORY_CD8_TCELL_DN	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'CLPTM1L;LPP;NUPR1;FURIN;RHOA;TLR6;BCKDK')
GSE24081_CONTROLLER_VS_PROGRESSOR_HIV_SPECIFIC_CD8_TCELL_DN	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'CPS1;IKZF3;CCDC121;IQCH;NFAT5;RHOA;PTPRJ')
GSE17721_CTRL_VS_PAM3CSK4_24H_BMDC_DN	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'SMARCE1;CHRNB4;SETD8;GTF2B;PTPN11;SMARCA4;NQO1')
GSE14308_TH2_VS_NAIVE_CD4_TCELL_DN	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'MAPKAPK5;BANK1;MSRA;REXO4;LSP1;SBNO1;SETD1A')
GSE17721_LPS_VS_PAM3CSK4_0.5H_BMDC_DN	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'INO80;JMJD1C;CELF1;PPP6R3;NCOA6;SLC19A2;SLC22A3')
GSE37301_PRO_BCELL_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_DN	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'SH2B1;HMGCR;CCND2;JAZF1;RAPSN;HEXIM1;FAM114A1')
GSE5589_UNSTIM_VS_180MIN_LPS_STIM_MACROPHAGE_DN	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'MPHOSPH9;UBA7;NCAPG;ACP2;CLN3;FNBP4;CCND2')
GSE17721_LPS_VS_CPG_12H_BMDC_UP	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'PVRL2;SIX1;NDUFS3;TCF4;HOXA11;PML;RREB1')
GSE8835_HEALTHY_VS_CLL_CD8_TCELL_UP	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'RPS26;TNKS;PAM;LRP1;STAT6;NCOA6;ATXN2L')
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_12H_DN	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'IRF1;IL18RAP;MKLN1;GAL3ST2;C5orf56;PNPT1;SBK1')
GSE40685_NAIVE_CD4_TCELL_VS_FOXP3_KO_TREG_PRECURSOR_UP	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'CDKN2B;AKTIP;ERP29;ZBTB38;CCND2;NQO1;PTPRJ')
REACTOME_SIGNALING_BY_PDGF	0.0002690458950197499	0.0024548487504991766	(17776, 158, 100, 6, 'ADCY3;FOXO3;MAPK3;STAT6;FURIN;PLG')
GSE32164_RESTING_DIFFERENTIATED_VS_ALTERNATIVELY_ACT_M2_MACROPHAGE_UP	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'GAS8;RPS26;CCR7;HMGCR;NOS3;PLG;CDKN2A')
GSE19941_UNSTIM_VS_LPS_AND_IL10_STIM_IL10_KO_NFKBP50_KO_MACROPHAGE_DN	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'PHTF1;PPA2;ACSL6;IL33;L3MBTL3;RERE;CENPW')
FLECHNER_PBL_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP	0.0002690458950197499	0.0024548487504991766	(17776, 158, 100, 6, 'SMARCE1;MAN2A2;ZNF259;SETD1A;PSMA4;PTPN11')
GSE3565_CTRL_VS_LPS_INJECTED_SPLENOCYTES_UP	0.00026858041133257063	0.0024548487504991766	(17776, 158, 141, 7, 'PTPN22;SMAD3;IL18R1;IL18RAP;IL1RL1;NRBP1;PTPRJ')
FULCHER_INFLAMMATORY_RESPONSE_LECTIN_VS_LPS_UP	0.0002706969824641347	0.0024678690959250953	(17776, 158, 404, 12, 'LPP;NME7;ATP1B1;IRF4;LSP1;PPA2;TCF4;CYB5B;DCLRE1B;CMIP;P4HA2;PDLIM4;SLC22A4;NFAT5;GAL;NQO1')
ZHANG_TARGETS_OF_EWSR1_FLI1_FUSION	0.000280175569178587	0.0025231680533759114	(17776, 158, 65, 5, 'MAPT;MAN2A2;SH2B3;FADS1;STAT6')
GSE4590_LARGE_PRE_BCELL_VS_VPREB_POS_LARGE_PRE_BCELL_UP	0.00028042837531391227	0.0025231680533759114	(17776, 158, 142, 7, 'TCF7L2;NT5C2;HMGCR;CDK6;LDLR;NPC1;CAMKV')
GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP	0.00028042837531391227	0.0025231680533759114	(17776, 158, 142, 7, 'SMARCE1;TRA2B;NDUFS3;CCR7;TUFM;CCND2;PTPN11;MFHAS1')
GSE27786_NEUTROPHIL_VS_MONO_MAC_UP	0.00028042837531391227	0.0025231680533759114	(17776, 158, 142, 7, 'PAM;FOXO3;MAPK3;MYL2;D2HGDH;ZNF652;SIX6')
E2F1_UP.V1_DN	0.00028042837531391227	0.0025231680533759114	(17776, 158, 142, 7, 'ERBB3;LIMA1;TCF4;IL1RL1;CCND2;C18orf8;STAT6')
GSE21380_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP	0.00028042837531391227	0.0025231680533759114	(17776, 158, 142, 7, 'TSLP;LRP1;MAMSTR;FADS1;DAG1;APOE;FAM114A1')
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_DN	0.00028042837531391227	0.0025231680533759114	(17776, 158, 142, 7, 'IRF1;GTF2B;MKLN1;PML;ARHGAP27;C5orf56;PNPT1;SBK1')
GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_DN	0.00028042837531391227	0.0025231680533759114	(17776, 158, 142, 7, 'ACP2;CCR7;SERPINA1;GAL;LDLR;TLR1;SLC9A3R2')
GSE17721_PAM3CSK4_VS_GADIQUIMOD_2H_BMDC_DN	0.00028042837531391227	0.0025231680533759114	(17776, 158, 142, 7, 'UBA7;AKTIP;FOXO3;CHMP1A;IP6K1;PPM1G;RREB1;CAMKV')
GSE3982_CTRL_VS_IGE_STIM_MAST_CELL_UP	0.00028042837531391227	0.0025231680533759114	(17776, 158, 142, 7, 'MSRA;SLC22A5;FNBP4;PML;STAT6;SMARCA4;MFHAS1')
GSE32986_GMCSF_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_UP	0.00028042837531391227	0.0025231680533759114	(17776, 158, 142, 7, 'FADS2;PAM;HMGCR;NQO1;LDLR;NPC1;NRBP1')
GSE3039_NKT_CELL_VS_B1_BCELL_UP	0.00028042837531391227	0.0025231680533759114	(17776, 158, 142, 7, 'IL18R1;MLXIP;RP1;CMIP;IP6K1;MON1A;GATA4')
GSE1432_6H_VS_24H_IFNG_MICROGLIA_UP	0.00028042837531391227	0.0025231680533759114	(17776, 158, 142, 7, 'PHACTR1;PVRL2;RAB5B;SH2B3;ITCH;APOBR;MFHAS1')
GSE37301_MULTIPOTENT_PROGENITOR_VS_RAG2_KO_NK_CELL_UP	0.00028042837531391227	0.0025231680533759114	(17776, 158, 142, 7, 'FES;SLC39A8;DEF8;FADS1;CSF2;FURIN;NPC1')
MTOR_UP.N4.V1_UP	0.00028042837531391227	0.0025231680533759114	(17776, 158, 142, 7, 'DLEU1;NME7;LIMA1;ZNF259;ASPHD1;LDLR;CAMKV')
GSE3982_EOSINOPHIL_VS_TH1_DN	0.00028042837531391227	0.0025231680533759114	(17776, 158, 142, 7, 'PHB;IRF4;TOMM40;SLC39A8;AAGAB;SMARCA4;MFHAS1')
MYOD_Q6_01	0.0002821532261770207	0.002534546068423759	(17776, 158, 188, 8, 'ERBB3;ATP1B1;SMAD3;SEMA3F;USP49;JMJD1C;JAZF1;WNT2B')
VERHAAK_AML_WITH_NPM1_MUTATED_DN	0.0002821532261770207	0.002534546068423759	(17776, 158, 188, 8, 'ADCY3;BANK1;ALDH2;PAM;CD19;CCND2;MST1;NPR3')
MITSIADES_RESPONSE_TO_APLIDIN_UP	0.000282617434404771	0.0025366469479215508	(17776, 158, 291, 10, 'PLEKHM1;BCL3;AKTIP;IRF1;SMAD3;LIMA1;GTF2B;FNBP4;RIOK3;LDLR')
TATTATA_MIR374	0.00028412615979822185	0.0025419020291290147	(17776, 158, 238, 9, 'BANK1;TNRC6A;CADM2;SLC38A3;HOXA11;ARHGEF40;NCOA6;PITX2;KIAA1199')
chr2p24	0.0002838203664590257	0.0025419020291290147	(17776, 158, 36, 4, 'IL18RAP;ADCY3;APOB;EFR3B')
GGCACTT_MIR519E	0.00028396340846767015	0.0025419020291290147	(17776, 158, 101, 6, 'IRF1;RAB5B;PPA2;CDK10;RBL2;FURIN')
LEE_METASTASIS_AND_ALTERNATIVE_SPLICING_DN	0.0002838203664590257	0.0025419020291290147	(17776, 158, 36, 4, 'CELSR2;MAPT;ADAMTS13;NR1H3')
GSE23695_CD57_POS_VS_NEG_NK_CELL_DN	0.00029269307144789915	0.002570517381065162	(17776, 158, 143, 7, 'C11orf30;MLXIP;CLN3;SLC39A8;PTCH1;FADS1;APOE')
GSE33425_CD161_HIGH_VS_INT_CD8_TCELL_DN	0.00029269307144789915	0.002570517381065162	(17776, 158, 143, 7, 'RPS26;IGF2R;CCND2;FADS1;FURIN;GMPPB;PSMA4')
GSE17721_PAM3CSK4_VS_CPG_6H_BMDC_DN	0.00029269307144789915	0.002570517381065162	(17776, 158, 143, 7, 'C1QTNF4;FANCA;FGF5;APOE;TLR6;IFT172;KBTBD4')
PITX2_Q2	0.0002924349704791335	0.002570517381065162	(17776, 158, 189, 8, 'ERBB3;EIF2B4;FES;RP1;JMJD1C;PRDM8;PITX2;CELF4')
GSE369_PRE_VS_POST_IL6_INJECTION_SOCS3_KO_LIVER_UP	0.00029269307144789915	0.002570517381065162	(17776, 158, 143, 7, 'ADCY3;SERPINA1;IL1RL1;CCND2;MKLN1;RIOK3;NPC1')
GSE18893_CTRL_VS_TNF_TREATED_TREG_2H_DN	0.00029269307144789915	0.002570517381065162	(17776, 158, 143, 7, 'BANK1;KLHDC8B;EXD1;ITCH;NFAT5;FURIN;KIAA1199')
GSE369_PRE_VS_POST_IL6_INJECTION_IFNG_KO_LIVER_UP	0.00029269307144789915	0.002570517381065162	(17776, 158, 143, 7, 'CORO1A;LPP;APOB;RP1;MAPK3;RHOA;TCTA')
GSE3982_MAST_CELL_VS_NEUTROPHIL_DN	0.00029269307144789915	0.002570517381065162	(17776, 158, 143, 7, 'LSP1;JMJD1C;IP6K1;NPR3;HEXIM1;USP4;TLR6')
GSE19772_HCMV_INFL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_UP	0.00029269307144789915	0.002570517381065162	(17776, 158, 143, 7, 'PMEL;F5;CCR7;TRAIP;FGF5;MST1;SLC22A4')
GSE40274_FOXP3_VS_FOXP3_AND_LEF1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	0.00029269307144789915	0.002570517381065162	(17776, 158, 143, 7, 'TCF7L2;IKZF3;FES;CDK6;FNBP4;RREB1;NRBP1')
GSE17721_CTRL_VS_CPG_6H_BMDC_DN	0.00029269307144789915	0.002570517381065162	(17776, 158, 143, 7, 'TRA2B;XKR6;ADRB1;FURIN;GMPPB;PSMA4;PTPN11')
GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_24H_CD8_T_CELL_UP	0.00029269307144789915	0.002570517381065162	(17776, 158, 143, 7, 'MPHOSPH9;EIF2B4;CLN3;CELF1;LRP5;IL5;BLK')
GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_CD4_TCELL_DN	0.00029269307144789915	0.002570517381065162	(17776, 158, 143, 7, 'CEP250;ERP29;JMJD1C;ZBTB38;IP6K1;NCOA6;NHLRC2')
KOBAYASHI_RESPONSE_TO_ROMIDEPSIN	0.0002899700860410777	0.002570517381065162	(17776, 158, 15, 3, 'DNAJC27;PMEL;GTF2B')
GSE23114_PERITONEAL_CAVITY_B1A_BCELL_VS_SPLEEN_BCELL_IN_SLE2C1_MOUSE_UP	0.00029269307144789915	0.002570517381065162	(17776, 158, 143, 7, 'UBA7;CORO1A;ALDH2;CLN3;MYL2;AMT;TLR1')
GSE5503_LIVER_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_DN	0.00029269307144789915	0.002570517381065162	(17776, 158, 143, 7, 'CLPTM1L;ATP1B1;EIF2B4;WDR36;RSBN1;L3MBTL3;PLG')
GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_IFNG_TNF_TREATED_MACROPHAGE_DN	0.00029269307144789915	0.002570517381065162	(17776, 158, 143, 7, 'SLC22A2;SMAD3;L3MBTL3;ZNF259;RHOA;ZNF652;PTPN22')
REACTOME_SIGNALING_BY_NODAL	0.0002899700860410777	0.002570517381065162	(17776, 158, 15, 3, 'SMAD3;FURIN;FOXO3')
GSE360_HIGH_VS_LOW_DOSE_B_MALAYI_DC_UP	0.00029269307144789915	0.002570517381065162	(17776, 158, 143, 7, 'HMGA2;TRA2B;MKLN1;SLC22A4;PSMA4;ATXN2L;CDKN2A')
GSE29164_DAY3_VS_DAY7_CD8_TCELL_TREATED_MELANOMA_UP	0.00029269307144789915	0.002570517381065162	(17776, 158, 143, 7, 'UBA7;BANK1;CDKN2B;NR1H3;PTCH1;CMIP;NUP160')
OCT1_05	0.0002924349704791335	0.002570517381065162	(17776, 158, 189, 8, 'PMEL;LPP;SIX1;CADM2;ITCH;HNF1B;CEP120;CAMKV')
GSE360_CTRL_VS_L_MAJOR_DC_DN	0.00029269307144789915	0.002570517381065162	(17776, 158, 143, 7, 'IRF1;ABO;CCR7;SERPINA1;SLC39A8;PITX2;GAL')
GSE17721_0.5H_VS_24H_POLYIC_BMDC_UP	0.00029269307144789915	0.002570517381065162	(17776, 158, 143, 7, 'RP1;DNAJC27;FURIN;DAG1;KIAA1199;RPL6;ALDOA')
TCCAGAG_MIR518C	0.00029952286195109767	0.002624220587643149	(17776, 158, 102, 6, 'BACH2;SH2B3;MKLN1;NFAT5;ZNF652;CUX2')
GSE6090_UNSTIM_VS_DC_SIGN_STIM_DC_DN	0.00029952286195109767	0.002624220587643149	(17776, 158, 102, 6, 'CORO1A;GCKR;ASPHD1;APOC1;BSN;CAMKV')
KIM_ALL_DISORDERS_DURATION_CORR_DN	0.00029952286195109767	0.002624220587643149	(17776, 158, 102, 6, 'MADD;FNDC4;MAPK3;TUFM;FTO;GPX1')
AHR_Q5	0.000305385235635466	0.0026316178404173604	(17776, 158, 144, 7, 'DOC2A;FOXO3;CMIP;MST1;RNF123;RHOA;USP4;ATXN2L;TCTA')
GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_PIOGLITAZONE_TREATED_UP	0.000305385235635466	0.0026316178404173604	(17776, 158, 144, 7, 'UBA7;NME7;NT5C2;ERBB3;SUOX;SH2B3;PML')
GSE45739_UNSTIM_VS_ACD3_ACD28_STIM_NRAS_KO_CD4_TCELL_DN	0.000305385235635466	0.0026316178404173604	(17776, 158, 144, 7, 'PHACTR1;CASZ1;CD19;TCF4;ITCH;CLCN6;PTPN22')
KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_UP	0.000305385235635466	0.0026316178404173604	(17776, 158, 144, 7, 'ALDH2;CD19;IL18RAP;TCF4;FADS1;BLK;MFHAS1')
GSE17301_IFNA2_VS_IFNA5_STIM_ACD3_ACD28_ACT_CD8_TCELL_UP	0.000305385235635466	0.0026316178404173604	(17776, 158, 144, 7, 'BACH2;CCR7;JMJD1C;EXOC2;RREB1;RERE;MAP3K4')
GFI1_01	0.00030302105894614034	0.0026316178404173604	(17776, 158, 190, 8, 'TET2;CCR7;JMJD1C;TCF4;CELF4;JAZF1;RHOA;TLR1;TCTA')
GSE37301_HEMATOPOIETIC_STEM_CELL_VS_PRO_BCELL_UP	0.000305385235635466	0.0026316178404173604	(17776, 158, 144, 7, 'RAB5B;MC1R;BCL7C;PPP6R3;PML;P4HA2;HEXIM1')
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_3H_DN	0.000305385235635466	0.0026316178404173604	(17776, 158, 144, 7, 'ALDH2;MAN2A2;SLC22A5;SUOX;PITX2;RREB1;PTPN22')
GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_UP	0.000305385235635466	0.0026316178404173604	(17776, 158, 144, 7, 'MLXIP;SLC22A5;FOXO3;TRAIP;USP4;TLR6;PTPN22')
ATF2_UP.V1_DN	0.000305385235635466	0.0026316178404173604	(17776, 158, 144, 7, 'SLC39A8;EFEMP1;RBL2;IL33;KIAA1199;HEXIM1;ZNF652')
GSE360_T_GONDII_VS_M_TUBERCULOSIS_DC_UP	0.000305385235635466	0.0026316178404173604	(17776, 158, 144, 7, 'PHACTR1;ADCY3;ALDH2;SETD1A;IP6K1;AMT;DAG1')
GSE4748_CTRL_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_UP	0.000305385235635466	0.0026316178404173604	(17776, 158, 144, 7, 'TSLP;WDR36;MLXIP;IL1RL1;PML;IL33;PTPN22')
GSE21360_PRIMARY_VS_TERTIARY_MEMORY_CD8_TCELL_UP	0.000305385235635466	0.0026316178404173604	(17776, 158, 144, 7, 'RAB5B;ACP2;MLXIP;FOXO3;SLC22A4;NQO1;PTPN22')
GSE17301_ACD3_ACD28_VS_ACD3_ACD28_AND_IFNA5_STIM_CD8_TCELL_DN	0.000305385235635466	0.0026316178404173604	(17776, 158, 144, 7, 'ALDH2;GTF3C2;CDK6;SH2B3;TCF4;NPC1;TLR1;GPX1')
GSE8835_CD4_VS_CD8_TCELL_CLL_PATIENT_DN	0.000305385235635466	0.0026316178404173604	(17776, 158, 144, 7, 'BANK1;MAN2A2;ACAD10;PTCH1;SULT1A1;IL1RL2;APOE')
GSE3982_EOSINOPHIL_VS_BASOPHIL_UP	0.000305385235635466	0.0026316178404173604	(17776, 158, 144, 7, 'PHACTR1;BCL3;SBNO1;SH2B1;CELF1;P4HA2;ARHGEF40')
GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY10_DN	0.000305385235635466	0.0026316178404173604	(17776, 158, 144, 7, 'IRF1;NR1H3;IGF2R;FADS1;P4HA2;APOBR;DAG1;TLR1')
GSE3982_EOSINOPHIL_VS_EFF_MEMORY_CD4_TCELL_UP	0.000305385235635466	0.0026316178404173604	(17776, 158, 144, 7, 'PHACTR1;BCL3;EFR3B;IL18R1;SUOX;APOBR;PKN2')
GSE29949_MICROGLIA_BRAIN_VS_CD8_POS_DC_SPLEEN_UP	0.000305385235635466	0.0026316178404173604	(17776, 158, 144, 7, 'MAPKAPK5;IRF1;ATP1B1;CCR7;IGF2R;IL1RL1;MAP3K4')
BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_C	0.0003009872895536807	0.0026316178404173604	(17776, 158, 66, 5, 'BCL2L15;IL1RL1;ERI1;MTCH2;SLC22A3')
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	0.00030302105894614034	0.0026316178404173604	(17776, 158, 190, 8, 'CPS1;F5;ALDH2;FANCA;GCKR;AMT;PLG;SLC9A3R2')
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_UP	0.0003066219213906734	0.0026402089290660565	(17776, 158, 294, 10, 'CASZ1;ERBB3;RAB5B;ERP29;SEMA3F;SPATA2L;CLN3;SUOX;AAGAB;RABEP2')
FREAC3_01	0.00031391828903781094	0.002698815079760665	(17776, 158, 191, 8, 'TCF7L2;RP1L1;HOXA13;SLC38A3;CDK6;HOXA11;EFEMP1;CELF4')
NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_UP	0.00031391828903781094	0.002698815079760665	(17776, 158, 191, 8, 'HMGA2;NAA25;PHB;NCAPG;TCF4;EFEMP1;PSMA4;CENPW')
GSE8685_IL2_STARVED_VS_IL2_ACT_IL2_STARVED_CD4_TCELL_UP	0.00031851576675160633	0.0027024762243724504	(17776, 158, 145, 7, 'SEPT9;TNRC6A;FNBP4;THADA;JAZF1;RNF123;SGK223')
GSE4142_NAIVE_BCELL_VS_PLASMA_CELL_UP	0.00031851576675160633	0.0027024762243724504	(17776, 158, 145, 7, 'SEPT9;AKTIP;ATP1B1;IKZF4;MAGI3;BCL2L15;ACAD10;GPD1')
