Subgraph	Loci	Num_of_clumps	Gene_list	Num_of_genes	Num_of_SNPs	Num_of_nodes Phens	
3_11_14_21_36	clump42; clump40; clump44	3	APOM; MIR6832; DDAH2; EGFL8; CSNK2B; LY6G5C; PRRC2A; MSH5; HLA-DQA1; HLA-DRA; HLA-DQB1; MIR6721; PPT2; FKBPL; C6orf10; C2; C6orf48; HLA-DQA2; SLC44A4; TNXB; PRRT1; HLA-DRB5; GPANK1; NCR3; AIF1; HLA-DRB1; BAG6; SNORA38	28	107	5	(36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Asthma; (120)Treatment/medication code: salbutamol; (21)Leg fat mass (right); (21)Weight; (11)Forced vital capacity (FVC), Best measure; (14)Illnesses of siblings: Diabetes; (21)Arm predicted mass (right); (14)Diagnoses - main ICD10: J33 Nasal polyp; (14)Diabetes diagnosed by doctor; (14)Number of treatments/medications taken; (14)Non-cancer illness code, self-reported: nasal polyps; (21)Arm fat mass (left); (36)Non-cancer illness code, self-reported: hypothyroidism/myxoedema; (21)Leg predicted mass (left); (21)Impedance of whole body; (21)Arm fat-free mass (right); (14)Number of self-reported non-cancer illnesses; (14)Treatment/medication code: ventolin 100micrograms inhaler; (11)Mouth/teeth dental problems: Mouth ulcers; (21)Body mass index (BMI); (14)Treatment/medication code: prednisolone; (36)Non-cancer illness code, self-reported: ankylosing spondylitis; (33)Non-cancer illness code, self-reported: hypertension; (59)Non-cancer illness code, self-reported: hayfever/allergic rhinitis; (11)Forced expiratory volume in 1-second (FEV1), Best measure; (120)Vitamin and mineral supplements: None of the above; (33)Vascular/heart problems diagnosed by doctor: None of the above; (14)Diagnoses - main ICD10: E10 Insulin-dependent diabetes mellitus; (21)Body fat percentage; (14)Eye problems/disorders: Diabetes related eye disease; (21)Arm fat percentage (right); (14)Doctor diagnosed asthma; (59)Doctor diagnosed hayfever or allergic rhinitis; (21)Sitting height; (14)Taking other prescription medications; (36)Treatment/medication code: levothyroxine sodium; (14)Medication for cholesterol, blood pressure or diabetes: Insulin; (33)Diastolic blood pressure, automated reading; (6)Worrier / anxious feelings; (11)Forced vital capacity (FVC); (21)Impedance of leg (right); (14)Treatment/medication code: insulin product; (11)Medication for pain relief, constipation, heartburn: None of the above; (33)Systolic blood pressure, automated reading; (73)Non-cancer illness code, self-reported: high cholesterol; (21)Hip circumference; (21)Impedance of arm (right); (73)Medication for cholesterol, blood pressure or diabetes: None of the above; (21)Leg fat percentage (left); (21)Waist circumference; (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above; (21)Arm fat percentage (left); (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema; (21)Trunk predicted mass; (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (36)Non-cancer illness code, self-reported: asthma; (120)Treatment/medication code: seretide 50 evohaler; (119)Medication for cholesterol, blood pressure or diabetes: Blood pressure medication; (14)Started insulin within one year diagnosis of diabetes; (21)Arm predicted mass (left); (3)Overall health rating; (36)Non-cancer illness code, self-reported: psoriasis; (21)Leg fat percentage (right); (14)Non-cancer illness code, self-reported: rheumatoid arthritis; (14)Wheeze or whistling in the chest in last year; (21)Leg predicted mass (right); (21)Comparative height size at age 10; (21)Arm fat mass (right); (14)Long-standing illness, disability or infirmity; (73)Treatment/medication code: simvastatin; (110)Treatment/medication code: thyroxine product; (14)Non-cancer illness code, self-reported: ulcerative colitis; (21)Impedance of arm (left); (36)Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis; (153)Diagnoses - main ICD10: R31 Unspecified haematuria; (14)Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Insulin; (159)Forced expiratory volume in 1-second (FEV1), predicted; (21)Leg fat-free mass (right); (21)Whole body fat mass; (167)Hearing difficulty/problems with background noise; (21)Trunk fat mass; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (36)Non-cancer illness code, self-reported: malabsorption/coeliac disease; (14)Non-cancer illness code, self-reported: diabetes; (21)Whole body water mass; (21)Impedance of leg (left); (21)Standing height; (21)Basal metabolic rate; (11)Hand grip strength (left); (21)Arm fat-free mass (left); (21)Leg fat mass (left); (21)Trunk fat percentage; (21)Trunk fat-free mass; (94)Treatment/medication code: becotide 50 inhaler; (11)Hand grip strength (right); (21)Whole body fat-free mass; (21)Leg fat-free mass (left); (11)Forced expiratory volume in 1-second (FEV1)
11_21_33_36_73_153_159_167	clump40	1	C2; SLC44A4	2	5	8	(73)Treatment/medication code: simvastatin; (21)Comparative body size at age 10; (36)Non-cancer illness code, self-reported: ankylosing spondylitis; (21)Leg fat percentage (left); (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above; (33)Non-cancer illness code, self-reported: hypertension; (21)Weight; (73)Medication for cholesterol, blood pressure or diabetes: None of the above; (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema; (21)Trunk predicted mass; (11)Forced vital capacity (FVC), Best measure; (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (36)Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis; (33)Vascular/heart problems diagnosed by doctor: None of the above; (3)Overall health rating; (153)Diagnoses - main ICD10: R31 Unspecified haematuria; (21)Arm predicted mass (left); (159)Forced expiratory volume in 1-second (FEV1), predicted; (36)Non-cancer illness code, self-reported: psoriasis; (21)Leg fat-free mass (right); (21)Arm predicted mass (right); (21)Leg fat percentage (right); (14)Non-cancer illness code, self-reported: rheumatoid arthritis; (167)Hearing difficulty/problems with background noise; (21)Sitting height; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (36)Non-cancer illness code, self-reported: malabsorption/coeliac disease; (21)Whole body water mass; (21)Impedance of leg (left); (21)Leg predicted mass (right); (21)Leg predicted mass (left); (21)Impedance of whole body; (21)Standing height; (21)Comparative height size at age 10; (21)Arm fat-free mass (right); (33)Diastolic blood pressure, automated reading; (21)Basal metabolic rate; (11)Hand grip strength (left); (11)Forced vital capacity (FVC); (21)Arm fat-free mass (left); (21)Trunk fat-free mass; (21)Impedance of leg (right); (11)Medication for pain relief, constipation, heartburn: None of the above; (11)Hand grip strength (right); (21)Whole body fat-free mass; (21)Leg fat-free mass (left); (11)Mouth/teeth dental problems: Mouth ulcers; (73)Non-cancer illness code, self-reported: high cholesterol; (21)Hip circumference
6_11_14_21_33_36_73_159	clump40; clump44	2	PRRC2A; MIR6832; BAG6; SLC44A4	4	16	8	(21)Impedance of arm (right); (11)Treatment/medication code: paracetamol; (21)Comparative body size at age 10; (33)Non-cancer illness code, self-reported: hypertension; (73)Medication for cholesterol, blood pressure or diabetes: None of the above; (21)Weight; (11)Medication for pain relief, constipation, heartburn: Paracetamol; (21)Trunk predicted mass; (11)Forced vital capacity (FVC), Best measure; (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (36)Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis; (33)Vascular/heart problems diagnosed by doctor: None of the above; (119)Medication for cholesterol, blood pressure or diabetes: Blood pressure medication; (14)Started insulin within one year diagnosis of diabetes; (21)Arm predicted mass (left); (159)Forced expiratory volume in 1-second (FEV1), predicted; (36)Non-cancer illness code, self-reported: psoriasis; (21)Leg fat-free mass (right); (21)Arm predicted mass (right); (14)Number of treatments/medications taken; (21)Sitting height; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (36)Non-cancer illness code, self-reported: malabsorption/coeliac disease; (21)Whole body water mass; (21)Impedance of leg (left); (21)Leg predicted mass (right); (21)Leg predicted mass (left); (21)Impedance of whole body; (21)Standing height; (21)Comparative height size at age 10; (21)Arm fat-free mass (right); (33)Diastolic blood pressure, automated reading; (21)Basal metabolic rate; (11)Hand grip strength (left); (6)Worrier / anxious feelings; (11)Forced vital capacity (FVC); (21)Arm fat-free mass (left); (21)Trunk fat-free mass; (21)Impedance of leg (right); (11)Medication for pain relief, constipation, heartburn: None of the above; (11)Hand grip strength (right); (33)Systolic blood pressure, automated reading; (6)Drive faster than motorway speed limit; (21)Whole body fat-free mass; (21)Leg fat-free mass (left); (21)Hip circumference
11_14_21_33_36_73_119_159	clump40; clump44	2	PRRC2A; MIR6832; BAG6; SLC44A4	4	7	8	(11)Treatment/medication code: paracetamol; (21)Comparative body size at age 10; (36)Non-cancer illness code, self-reported: ankylosing spondylitis; (33)Non-cancer illness code, self-reported: hypertension; (73)Medication for cholesterol, blood pressure or diabetes: None of the above; (21)Weight; (11)Medication for pain relief, constipation, heartburn: Paracetamol; (21)Trunk predicted mass; (11)Forced vital capacity (FVC), Best measure; (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (36)Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis; (33)Vascular/heart problems diagnosed by doctor: None of the above; (119)Medication for cholesterol, blood pressure or diabetes: Blood pressure medication; (14)Started insulin within one year diagnosis of diabetes; (21)Arm predicted mass (left); (159)Forced expiratory volume in 1-second (FEV1), predicted; (36)Non-cancer illness code, self-reported: psoriasis; (21)Leg fat-free mass (right); (21)Arm predicted mass (right); (14)Number of treatments/medications taken; (21)Sitting height; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (174)Age when periods started (menarche); (36)Non-cancer illness code, self-reported: malabsorption/coeliac disease; (21)Whole body water mass; (21)Impedance of leg (left); (21)Leg predicted mass (right); (21)Leg predicted mass (left); (21)Impedance of whole body; (21)Standing height; (21)Comparative height size at age 10; (21)Arm fat-free mass (right); (33)Diastolic blood pressure, automated reading; (21)Basal metabolic rate; (11)Hand grip strength (left); (6)Worrier / anxious feelings; (11)Forced vital capacity (FVC); (21)Arm fat-free mass (left); (21)Trunk fat-free mass; (21)Impedance of leg (right); (11)Medication for pain relief, constipation, heartburn: None of the above; (11)Hand grip strength (right); (33)Systolic blood pressure, automated reading; (21)Whole body fat-free mass; (21)Leg fat-free mass (left); (73)Non-cancer illness code, self-reported: high cholesterol; (21)Hip circumference
11_14_21_33_36_73_119_159_174	clump40	1	SLC44A4	1	1	9	(21)Comparative body size at age 10; (36)Non-cancer illness code, self-reported: ankylosing spondylitis; (33)Non-cancer illness code, self-reported: hypertension; (73)Medication for cholesterol, blood pressure or diabetes: None of the above; (21)Weight; (21)Trunk predicted mass; (11)Forced vital capacity (FVC), Best measure; (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (36)Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis; (33)Vascular/heart problems diagnosed by doctor: None of the above; (119)Medication for cholesterol, blood pressure or diabetes: Blood pressure medication; (21)Arm predicted mass (left); (159)Forced expiratory volume in 1-second (FEV1), predicted; (21)Leg fat-free mass (right); (21)Arm predicted mass (right); (14)Number of treatments/medications taken; (21)Sitting height; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (174)Age when periods started (menarche); (36)Non-cancer illness code, self-reported: malabsorption/coeliac disease; (21)Whole body water mass; (21)Impedance of leg (left); (21)Leg predicted mass (right); (21)Leg predicted mass (left); (21)Impedance of whole body; (21)Standing height; (21)Comparative height size at age 10; (21)Arm fat-free mass (right); (21)Basal metabolic rate; (11)Hand grip strength (left); (11)Forced vital capacity (FVC); (21)Arm fat-free mass (left); (21)Trunk fat-free mass; (21)Impedance of leg (right); (11)Medication for pain relief, constipation, heartburn: None of the above; (11)Hand grip strength (right); (21)Whole body fat-free mass; (21)Leg fat-free mass (left); (21)Hip circumference
11_14_21_33_36_73_153	clump40	1	C2; SLC44A4	2	6	7	(73)Treatment/medication code: simvastatin; (21)Impedance of arm (right); (33)Non-cancer illness code, self-reported: hypertension; (21)Leg fat percentage (left); (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above; (73)Medication for cholesterol, blood pressure or diabetes: None of the above; (21)Weight; (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema; (21)Impedance of arm (left); (11)Forced vital capacity (FVC), Best measure; (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (21)Trunk predicted mass; (36)Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis; (3)Overall health rating; (33)Vascular/heart problems diagnosed by doctor: None of the above; (153)Diagnoses - main ICD10: R31 Unspecified haematuria; (21)Arm predicted mass (left); (159)Forced expiratory volume in 1-second (FEV1), predicted; (36)Non-cancer illness code, self-reported: psoriasis; (21)Leg fat-free mass (right); (21)Arm predicted mass (right); (21)Leg fat percentage (right); (14)Non-cancer illness code, self-reported: rheumatoid arthritis; (167)Hearing difficulty/problems with background noise; (14)Number of treatments/medications taken; (21)Sitting height; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (36)Non-cancer illness code, self-reported: malabsorption/coeliac disease; (21)Whole body water mass; (21)Impedance of leg (left); (21)Leg predicted mass (right); (36)Non-cancer illness code, self-reported: hypothyroidism/myxoedema; (21)Leg predicted mass (left); (21)Impedance of whole body; (21)Standing height; (21)Comparative height size at age 10; (21)Arm fat-free mass (right); (33)Diastolic blood pressure, automated reading; (21)Basal metabolic rate; (11)Hand grip strength (left); (11)Forced vital capacity (FVC); (21)Arm fat-free mass (left); (21)Trunk fat-free mass; (21)Impedance of leg (right); (11)Medication for pain relief, constipation, heartburn: None of the above; (11)Hand grip strength (right); (21)Whole body fat-free mass; (21)Leg fat-free mass (left); (11)Mouth/teeth dental problems: Mouth ulcers; (73)Non-cancer illness code, self-reported: high cholesterol
11_14_21_33_36_73_119_174	clump40	1	C2; SLC44A4	2	2	8	(21)Impedance of arm (right); (21)Comparative body size at age 10; (36)Non-cancer illness code, self-reported: ankylosing spondylitis; (33)Non-cancer illness code, self-reported: hypertension; (73)Medication for cholesterol, blood pressure or diabetes: None of the above; (21)Weight; (21)Impedance of arm (left); (11)Forced vital capacity (FVC), Best measure; (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (21)Trunk predicted mass; (36)Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis; (119)Medication for cholesterol, blood pressure or diabetes: Blood pressure medication; (33)Vascular/heart problems diagnosed by doctor: None of the above; (21)Arm predicted mass (left); (159)Forced expiratory volume in 1-second (FEV1), predicted; (21)Leg fat-free mass (right); (21)Arm predicted mass (right); (14)Number of treatments/medications taken; (21)Sitting height; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (174)Age when periods started (menarche); (36)Non-cancer illness code, self-reported: malabsorption/coeliac disease; (21)Whole body water mass; (21)Impedance of leg (left); (21)Leg predicted mass (right); (21)Leg predicted mass (left); (21)Impedance of whole body; (21)Standing height; (21)Comparative height size at age 10; (21)Arm fat-free mass (right); (21)Basal metabolic rate; (11)Hand grip strength (left); (11)Forced vital capacity (FVC); (21)Arm fat-free mass (left); (21)Trunk fat-free mass; (21)Impedance of leg (right); (11)Medication for pain relief, constipation, heartburn: None of the above; (11)Hand grip strength (right); (21)Whole body fat-free mass; (21)Leg fat-free mass (left); (21)Hip circumference
11_14_21_33_36	clump42; clump44; clump39; clump43; clump13; clump45; clump41; clump30; clump40	9	HCG14; OR2W1; APOM; VARS; LINC01556; HCG23; RNF39; SAPCD1; HCP5; HCG9; MIR4640; MICA; TRIM40; OR14J1; HCG17; MDC1; C6orf10; TRIM39-RPP21; C2; OR2B2; HIST1H4L; HLA-DQA2; ZNRD1; MIR6891; LINC01623; TOB2P1; MRPS18B; TCF19; AIF1; PBX2; HLA-DRB1; OR2J3; EHMT2; VARS2; CFB; ABCF1; BAG6; MUC22; GNL1; GPX6; OR12D3; MOG; EGFL8; HIST1H3J; TRIM31-AS1; PPP1R18; OR12D2; CSNK2B; CYP21A2; OR5V1; HCG22; HLA-DRA; OR2J2; HCG18; SNORD48; HLA-DRB6; HCG26; TRIM10; MICB; PSORS1C1; HCG4; NEU1; OR2B3; HLA-L; C6orf48; NELFE; TRIM31; ZBTB12; PRRT1; HLA-DRB5; OR2B6; LST1; NCR3; HLA-J; SFTA2; ZKSCAN3; PPP1R10; SNORA38; TRIM26; ATAT1; DDAH2; LY6G5C; LINC00533; OR2H1; HLA-DQB1-AS1; HCG8; OR10C1; HLA-B; HLA-DQA1; ZKSCAN8; HCG16; FKBPL; MIR4646; LINC01015; FLOT1; ZNF165; ZNF311; CLIC1; IER3; VWA7; OR2H2; PGBD1; ZSCAN23; DDR1; TNXB; ZSCAN9; GPANK1; DHX16; GPSM3; LINC00243; ABHD16A; HLA-DQB1; DPCR1; MAS1L; MIR6832; ZSCAN16-AS1; DXO; ATF6B; NOTCH4; LY6G6E; ZBED9; ZSCAN12; PRRC2A; MSH5; LSM2; ZSCAN26; HLA-E; SNORD32B; MIR6721; HLA-C; C4A; IFITM4P; GABBR1; UBD; ZSCAN12P1; HIST1H2BO; HLA-F; NKAPL; GTF2H4; ZNF192P1; C6orf15; PSORS1C2; ATP6V1G2-DDX39B; C2-AS1; MUC21; ZSCAN31; ZSCAN16; SLC44A4; TRIM27; TRIM15; LTA; C6orf25; HSPA1L; HCG27	154	1084	5	(36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Asthma; (21)Leg fat mass (right); (119)Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: None of the above; (21)Weight; (11)Medication for pain relief, constipation, heartburn: Paracetamol; (11)Forced vital capacity (FVC), Best measure; (14)Illnesses of siblings: Diabetes; (21)Arm predicted mass (right); (14)Diabetes diagnosed by doctor; (14)Number of treatments/medications taken; (174)Age when periods started (menarche); (21)Arm fat mass (left); (36)Non-cancer illness code, self-reported: hypothyroidism/myxoedema; (21)Leg predicted mass (left); (21)Impedance of whole body; (21)Arm fat-free mass (right); (110)Treatment/medication code: carbimazole; (14)Number of self-reported non-cancer illnesses; (153)Potassium in urine; (14)Treatment/medication code: ventolin 100micrograms inhaler; (11)Mouth/teeth dental problems: Mouth ulcers; (11)Treatment/medication code: paracetamol; (36)Non-cancer illness code, self-reported: ankylosing spondylitis; (33)Non-cancer illness code, self-reported: hypertension; (11)Forced expiratory volume in 1-second (FEV1), Best measure; (153)Fluid intelligence score; (33)Vascular/heart problems diagnosed by doctor: None of the above; (14)Diagnoses - main ICD10: E10 Insulin-dependent diabetes mellitus; (21)Body fat percentage; (14)Eye problems/disorders: Diabetes related eye disease; (21)Arm fat percentage (right); (14)Doctor diagnosed asthma; (21)Sitting height; (14)Taking other prescription medications; (36)Treatment/medication code: levothyroxine sodium; (14)Medication for cholesterol, blood pressure or diabetes: Insulin; (153)Seen a psychiatrist for nerves, anxiety, tension or depression; (153)Mouth/teeth dental problems: Dentures; (33)Diastolic blood pressure, automated reading; (6)Worrier / anxious feelings; (11)Forced vital capacity (FVC); (21)Impedance of leg (right); (14)Treatment/medication code: insulin product; (11)Medication for pain relief, constipation, heartburn: None of the above; (33)Systolic blood pressure, automated reading; (233)Number of days/week of moderate physical activity 10+ minutes; (6)Drive faster than motorway speed limit; (73)Non-cancer illness code, self-reported: high cholesterol; (21)Hip circumference; (21)Impedance of arm (right); (73)Medication for cholesterol, blood pressure or diabetes: None of the above; (21)Leg fat percentage (left); (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above; (21)Arm fat percentage (left); (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema; (21)Trunk predicted mass; (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (36)Non-cancer illness code, self-reported: asthma; (119)Medication for cholesterol, blood pressure or diabetes: Blood pressure medication; (14)Started insulin within one year diagnosis of diabetes; (21)Arm predicted mass (left); (3)Overall health rating; (73)Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Cholesterol lowering medication; (36)Non-cancer illness code, self-reported: psoriasis; (195)Heel bone mineral density (BMD) T-score, automated; (21)Leg fat percentage (right); (14)Non-cancer illness code, self-reported: rheumatoid arthritis; (14)Wheeze or whistling in the chest in last year; (110)Other serious medical condition/disability diagnosed by doctor; (21)Leg predicted mass (right); (21)Comparative height size at age 10; (21)Arm fat mass (right); (14)Long-standing illness, disability or infirmity; (153)Seen doctor (GP) for nerves, anxiety, tension or depression; (188)Number of incorrect matches in round; (24)Illnesses of father: Lung cancer; (73)Treatment/medication code: simvastatin; (110)Treatment/medication code: thyroxine product; (21)Comparative body size at age 10; (21)Impedance of arm (left); (36)Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis; (153)Diagnoses - main ICD10: R31 Unspecified haematuria; (14)Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Insulin; (159)Forced expiratory volume in 1-second (FEV1), predicted; (21)Leg fat-free mass (right); (21)Whole body fat mass; (167)Hearing difficulty/problems with background noise; (21)Trunk fat mass; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (36)Non-cancer illness code, self-reported: malabsorption/coeliac disease; (14)Non-cancer illness code, self-reported: diabetes; (21)Whole body water mass; (21)Impedance of leg (left); (11)Nervous feelings; (21)Standing height; (11)Forced expiratory volume in 1-second (FEV1), predicted percentage; (21)Basal metabolic rate; (11)Hand grip strength (left); (21)Arm fat-free mass (left); (21)Leg fat mass (left); (21)Trunk fat-free mass; (11)Peak expiratory flow (PEF); (11)Hand grip strength (right); (21)Whole body fat-free mass; (21)Leg fat-free mass (left); (11)Forced expiratory volume in 1-second (FEV1)
11_21_33_36_73_110_153_159	clump40	1	NELFE; C2; SKIV2L	3	5	8	(33)Non-cancer illness code, self-reported: hypertension; (73)Medication for cholesterol, blood pressure or diabetes: None of the above; (21)Weight; (21)Trunk predicted mass; (11)Forced vital capacity (FVC), Best measure; (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (36)Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis; (33)Vascular/heart problems diagnosed by doctor: None of the above; (153)Diagnoses - main ICD10: R31 Unspecified haematuria; (21)Arm predicted mass (left); (159)Forced expiratory volume in 1-second (FEV1), predicted; (36)Non-cancer illness code, self-reported: psoriasis; (21)Leg fat-free mass (right); (21)Arm predicted mass (right); (21)Sitting height; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (36)Non-cancer illness code, self-reported: malabsorption/coeliac disease; (21)Whole body water mass; (21)Impedance of leg (left); (21)Leg predicted mass (right); (21)Leg predicted mass (left); (21)Standing height; (21)Comparative height size at age 10; (21)Arm fat-free mass (right); (110)Treatment/medication code: carbimazole; (33)Diastolic blood pressure, automated reading; (21)Basal metabolic rate; (11)Hand grip strength (left); (11)Forced vital capacity (FVC); (21)Arm fat-free mass (left); (21)Trunk fat-free mass; (21)Impedance of leg (right); (11)Medication for pain relief, constipation, heartburn: None of the above; (11)Hand grip strength (right); (21)Whole body fat-free mass; (21)Leg fat-free mass (left); (11)Mouth/teeth dental problems: Mouth ulcers; (73)Non-cancer illness code, self-reported: high cholesterol; (21)Hip circumference
3_11_14_21_33_36_73_153_159_167	clump40	1	C2	1	3	10	(73)Treatment/medication code: simvastatin; (33)Non-cancer illness code, self-reported: hypertension; (21)Leg fat percentage (left); (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above; (73)Medication for cholesterol, blood pressure or diabetes: None of the above; (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema; (21)Trunk predicted mass; (11)Forced vital capacity (FVC), Best measure; (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (36)Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis; (33)Vascular/heart problems diagnosed by doctor: None of the above; (3)Overall health rating; (153)Diagnoses - main ICD10: R31 Unspecified haematuria; (21)Arm predicted mass (left); (159)Forced expiratory volume in 1-second (FEV1), predicted; (36)Non-cancer illness code, self-reported: psoriasis; (21)Leg fat-free mass (right); (21)Arm predicted mass (right); (21)Leg fat percentage (right); (14)Non-cancer illness code, self-reported: rheumatoid arthritis; (167)Hearing difficulty/problems with background noise; (21)Sitting height; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (36)Non-cancer illness code, self-reported: malabsorption/coeliac disease; (21)Whole body water mass; (21)Leg predicted mass (right); (21)Leg predicted mass (left); (21)Standing height; (21)Comparative height size at age 10; (21)Arm fat-free mass (right); (33)Diastolic blood pressure, automated reading; (21)Basal metabolic rate; (11)Hand grip strength (left); (11)Forced vital capacity (FVC); (21)Arm fat-free mass (left); (21)Trunk fat-free mass; (11)Medication for pain relief, constipation, heartburn: None of the above; (11)Hand grip strength (right); (21)Whole body fat-free mass; (21)Leg fat-free mass (left); (11)Mouth/teeth dental problems: Mouth ulcers; (73)Non-cancer illness code, self-reported: high cholesterol
11_14_21_33_36_73_153_159	clump40	1	C2	1	4	8	(73)Treatment/medication code: simvastatin; (33)Non-cancer illness code, self-reported: hypertension; (21)Leg fat percentage (left); (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above; (73)Medication for cholesterol, blood pressure or diabetes: None of the above; (21)Weight; (36)Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Hayfever, allergic rhinitis or eczema; (21)Trunk predicted mass; (11)Forced vital capacity (FVC), Best measure; (73)Medication for cholesterol, blood pressure or diabetes: Cholesterol lowering medication; (36)Non-cancer illness code, self-reported: hyperthyroidism/thyrotoxicosis; (33)Vascular/heart problems diagnosed by doctor: None of the above; (3)Overall health rating; (153)Diagnoses - main ICD10: R31 Unspecified haematuria; (21)Arm predicted mass (left); (159)Forced expiratory volume in 1-second (FEV1), predicted; (36)Non-cancer illness code, self-reported: psoriasis; (21)Leg fat-free mass (right); (21)Arm predicted mass (right); (21)Leg fat percentage (right); (14)Non-cancer illness code, self-reported: rheumatoid arthritis; (167)Hearing difficulty/problems with background noise; (14)Number of treatments/medications taken; (21)Sitting height; (33)Vascular/heart problems diagnosed by doctor: High blood pressure; (36)Non-cancer illness code, self-reported: malabsorption/coeliac disease; (21)Whole body water mass; (21)Leg predicted mass (right); (36)Non-cancer illness code, self-reported: hypothyroidism/myxoedema; (21)Leg predicted mass (left); (21)Standing height; (21)Comparative height size at age 10; (21)Arm fat-free mass (right); (33)Diastolic blood pressure, automated reading; (21)Basal metabolic rate; (11)Hand grip strength (left); (11)Forced vital capacity (FVC); (21)Arm fat-free mass (left); (21)Trunk fat-free mass; (11)Medication for pain relief, constipation, heartburn: None of the above; (11)Hand grip strength (right); (21)Whole body fat-free mass; (21)Leg fat-free mass (left); (11)Mouth/teeth dental problems: Mouth ulcers; (73)Non-cancer illness code, self-reported: high cholesterol
