pathway	n_phen	n_clust	enrich_un_n2	un_n2_erich
GSE27786_BCELL_VS_ERYTHROBLAST_DN	40	8	4	2
GSE7852_LN_VS_FAT_TREG_UP	38	8	4	2
RAPA_EARLY_UP.V1_DN	53	13	5	3
GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_6H_UP	42	9	4	2
GSE5542_IFNG_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_6H_DN	52	17	10	3
GSE17721_LPS_VS_GARDIQUIMOD_4H_BMDC_DN	47	11	6	3
GSE22886_IGG_IGA_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_DN	50	12	5	2
GSE15659_NAIVE_CD4_TCELL_VS_RESTING_TREG_DN	35	10	4	3
IL15_UP.V1_UP	57	13	7	4
ATGTTTC_MIR494	52	14	4	2
GSE37416_0H_VS_24H_F_TULARENSIS_LVS_NEUTROPHIL_UP	49	11	5	3
GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_DN	50	13	6	3
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_DN	63	22	10	5
E2F_Q4_01	58	19	9	5
KRAS.600.LUNG.BREAST_UP.V1_DN	54	19	9	3
DEBIASI_APOPTOSIS_BY_REOVIRUS_INFECTION_DN	70	19	10	8
GSE5589_WT_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_UP	41	7	3	2
GSE32901_TH1_VS_TH17_ENRICHED_CD4_TCELL_DN	47	11	5	3
GSE10147_IL3_VS_IL3_AND_HIVP17_STIM_PDC_DN	42	11	4	2
REACTOME_SIGNAL_ATTENUATION	26	6	3	2
REACTOME_PLATELET_CALCIUM_HOMEOSTASIS	29	8	3	1
REACTOME_CRMPS_IN_SEMA3A_SIGNALING	20	5	2	1
chr13q31	16	7	1	1
BIOCARTA_AKAP13_PATHWAY	39	9	5	3
GSE25085_FETAL_BM_VS_ADULT_BM_SP4_THYMIC_IMPLANT_UP	57	18	7	2
GSE360_L_MAJOR_VS_M_TUBERCULOSIS_DC_DN	54	14	6	2
GSE3982_EOSINOPHIL_VS_EFF_MEMORY_CD4_TCELL_DN	56	17	8	3
GSE15330_LYMPHOID_MULTIPOTENT_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_IKAROS_KO_DN	50	17	10	5
GSE26351_UNSTIM_VS_BMP_PATHWAY_STIM_HEMATOPOIETIC_PROGENITORS_DN	47	12	4	2
GSE7831_CPG_VS_INFLUENZA_STIM_PDC_4H_UP	55	14	7	3
GSE5589_LPS_AND_IL10_VS_LPS_AND_IL6_STIM_IL6_KO_MACROPHAGE_45MIN_DN	45	9	5	2
HALLMARK_ADIPOGENESIS	52	17	7	3
GSE4984_UNTREATED_VS_GALECTIN1_TREATED_DC_UP	62	20	10	5
GSE22886_NAIVE_CD8_TCELL_VS_NKCELL_UP	52	13	6	3
GSE3982_NKCELL_VS_TH1_UP	57	16	7	4
GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_10MIN_DN	47	9	4	3
GSE11864_UNTREATED_VS_CSF1_IFNG_IN_MAC_DN	38	12	5	2
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	40	10	4	2
RB_P107_DN.V1_UP	46	9	3	2
CATRRAGC_UNKNOWN	46	10	6	2
LIU_SOX4_TARGETS_UP	39	11	6	4
RORA2_01	56	17	6	2
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM3	24	11	5	3
CCACACA_MIR147	46	11	4	2
E2F_01	37	9	4	2
GTGTCAA_MIR514	46	11	4	3
GSE360_DC_VS_MAC_B_MALAYI_LOW_DOSE_DN	51	16	9	4
GSE411_100MIN_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_DN	56	16	8	5
REACTOME_METABOLISM_OF_CARBOHYDRATES	45	13	5	3
GSE14308_TH17_VS_INDUCED_TREG_DN	50	10	5	2
GSE13493_DP_VS_CD8POS_THYMOCYTE_DN	52	14	6	2
GSE13411_NAIVE_VS_IGM_MEMORY_BCELL_DN	50	13	6	3
GSE16451_CTRL_VS_WEST_EQUINE_ENC_VIRUS_IMMATURE_NEURON_CELL_LINE_DN	56	17	8	3
NAKAMURA_METASTASIS_MODEL_UP	44	8	3	2
GSE13547_CTRL_VS_ANTI_IGM_STIM_BCELL_2H_UP	57	15	5	2
BILANGES_SERUM_SENSITIVE_VIA_TSC2	37	6	3	2
GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_48H_UP	46	10	4	3
GSE22140_HEALTHY_VS_ARTHRITIC_GERMFREE_MOUSE_CD4_TCELL_UP	40	11	7	3
GSE17721_PAM3CSK4_VS_CPG_6H_BMDC_UP	36	7	4	2
HALLMARK_MYC_TARGETS_V1	44	10	5	2
SHIPP_DLBCL_VS_FOLLICULAR_LYMPHOMA_UP	33	7	3	2
UDAYAKUMAR_MED1_TARGETS_DN	50	19	10	3
GSE44649_WT_VS_MIR155_KO_ACTIVATED_CD8_TCELL_DN	37	9	4	2
GSE7831_UNSTIM_VS_INFLUENZA_STIM_PDC_4H_DN	55	17	10	4
GU_PDEF_TARGETS_DN	44	10	4	3
GSE31622_WT_VS_KLF3_KO_BCELL_DN	50	12	5	3
E2F_03	55	16	8	4
GSE17721_POLYIC_VS_PAM3CSK4_12H_BMDC_UP	48	14	6	4
CYCLIN_D1_KE_.V1_UP	65	20	14	6
AKT_UP_MTOR_DN.V1_DN	33	10	3	2
SMAD4_Q6	62	20	10	4
ATF2_UP.V1_UP	52	14	6	3
GSE15324_NAIVE_VS_ACTIVATED_ELF4_KO_CD8_TCELL_UP	53	13	7	4
GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	44	13	7	3
GSE32986_UNSTIM_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_DN	48	14	8	3
HADDAD_B_LYMPHOCYTE_PROGENITOR	64	22	8	3
KIM_GASTRIC_CANCER_CHEMOSENSITIVITY	52	12	7	3
POU3F2_01	54	16	7	3
HIF1_Q3	61	17	9	4
ACAGGGT_MIR10A_MIR10B	45	16	5	2
ONDER_CDH1_TARGETS_1_UP	49	13	6	4
GSE22886_CD4_TCELL_VS_BCELL_NAIVE_UP	51	14	8	3
GSE15659_RESTING_VS_ACTIVATED_TREG_DN	28	11	5	4
GSE17721_CTRL_VS_PAM3CSK4_2H_BMDC_UP	49	16	8	4
GSE28726_NAIVE_VS_ACTIVATED_CD4_TCELL_UP	55	16	6	4
ATF2_S_UP.V1_UP	49	14	7	3
GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8A_DC_IFNAR_KO_UP	49	12	6	2
GSE13522_WT_VS_IFNAR_KO_SKING_T_CRUZI_Y_STRAIN_INF_DN	49	16	6	3
JNK_DN.V1_UP	39	13	5	3
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_DN	42	11	6	3
GSE15330_MEGAKARYOCYTE_ERYTHROID_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP	50	16	10	5
GSE2770_UNTREATED_VS_TGFB_AND_IL4_TREATED_ACT_CD4_TCELL_4H_UP	47	14	7	3
GSE34515_CD16_NEG_VS_POS_MONOCYTE_UP	57	16	7	5
GSE45365_NK_CELL_VS_CD8A_DC_DN	50	13	6	3
GSE27786_NKCELL_VS_ERYTHROBLAST_UP	44	10	6	3
GSE5542_IFNG_VS_IFNA_AND_IFNG_TREATED_EPITHELIAL_CELLS_24H_UP	52	10	4	2
GSE41867_DAY8_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP	43	9	4	2
GSE22886_NAIVE_CD8_TCELL_VS_DC_UP	51	17	8	2
GSE3982_MAC_VS_NKCELL_DN	52	14	6	4
GSE360_T_GONDII_VS_B_MALAYI_HIGH_DOSE_MAC_DN	49	12	5	3
GSE22342_CD11C_HIGH_VS_LOW_DECIDUAL_MACROPHAGES_UP	44	10	5	2
STTTCRNTTT_IRF_Q6	60	22	11	4
ACATATC_MIR190	54	15	9	5
CTCAAGA_MIR526B	56	17	8	4
KEGG_NON_SMALL_CELL_LUNG_CANCER	47	11	6	3
E2F_Q4	53	13	6	3
GSE14308_TH2_VS_TH17_DN	52	15	8	3
GSE40225_WT_VS_RIP_B7X_DIABETIC_MOUSE_PANCREATIC_CD8_TCELL_DN	47	14	8	3
GSE17721_LPS_VS_PAM3CSK4_8H_BMDC_UP	54	17	6	3
GSE28726_NAIVE_VS_ACTIVATED_NKTCELL_UP	53	13	6	3
GSE22886_UNSTIM_VS_IL15_STIM_NKCELL_DN	55	13	7	4
GSE17721_CTRL_VS_POLYIC_2H_BMDC_UP	45	10	6	3
GSE3982_MAST_CELL_VS_TH1_DN	54	13	4	2
GSE25123_CTRL_VS_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_UP	48	12	6	3
GSE20715_WT_VS_TLR4_KO_48H_OZONE_LUNG_DN	56	15	7	5
GSE17974_0H_VS_72H_IN_VITRO_ACT_CD4_TCELL_UP	47	12	6	4
BILD_MYC_ONCOGENIC_SIGNATURE	46	9	5	2
GSE15330_WT_VS_IKAROS_KO_HSC_DN	38	6	2	2
CYCLIN_D1_KE_.V1_DN	59	17	8	6
GSE22601_DOUBLE_NEGATIVE_VS_DOUBLE_POSITIVE_THYMOCYTE_UP	52	15	6	2
GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_IN_MAST_CELL_UP	46	10	5	2
BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP	43	13	6	2
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_48H_ACT_CD4_TCELL_UP	50	14	7	3
GSE14413_UNSTIM_VS_IFNB_STIM_L929_CELLS_UP	38	8	4	1
AMUNDSON_GENOTOXIC_SIGNATURE	43	8	4	2
ZID_01	53	15	5	2
ST_ERK1_ERK2_MAPK_PATHWAY	46	10	6	4
PID_AR_NONGENOMIC_PATHWAY	43	8	5	2
chr15q24	39	11	6	4
SMID_BREAST_CANCER_RELAPSE_IN_LUNG_DN	39	8	4	1
GSE17721_PAM3CSK4_VS_CPG_0.5H_BMDC_UP	49	13	7	3
GSE3982_CTRL_VS_LPS_4H_MAC_UP	50	12	5	3
GSE3982_MAC_VS_EFF_MEMORY_CD4_TCELL_DN	53	13	6	2
GSE3982_CTRL_VS_IGE_STIM_MAST_CELL_DN	48	10	3	2
GSE5589_LPS_VS_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_UP	53	14	7	3
GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_NFATC1_KO_8H_UP	55	18	10	3
GSE339_CD4POS_VS_CD4CD8DN_DC_IN_CULTURE_DN	60	17	11	7
GSE25123_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_PPARG_KO_MACROPHAGE_DAY10_UP	51	15	5	2
GSE19888_ADENOSINE_A3R_INH_VS_ACT_WITH_INHIBITOR_PRETREATMENT_IN_MAST_CELL_DN	60	18	10	5
GSE2826_XID_VS_BTK_KO_BCELL_DN	49	12	7	4
GSE15930_STIM_VS_STIM_AND_IFNAB_24H_CD8_T_CELL_UP	51	16	8	3
GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_IFNG_TNF_TREATED_MACROPHAGE_UP	44	10	6	2
GSE41978_WT_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_DN	49	13	6	3
GSE7348_LPS_VS_TOLERIZED_AND_LPS_STIM_MACROPHAGE_UP	50	13	7	4
GSE17721_4_VS_24H_CPG_BMDC_DN	53	14	8	3
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_DN	47	12	7	3
GSE17721_CPG_VS_GARDIQUIMOD_12H_BMDC_DN	56	18	9	2
GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_UP	55	14	6	5
GSE37533_PPARG2_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_UP	36	8	3	2
GSE11924_TFH_VS_TH17_CD4_TCELL_DN	41	8	4	2
CHIARADONNA_NEOPLASTIC_TRANSFORMATION_CDC25_DN	54	16	7	5
GSE45365_NK_CELL_VS_BCELL_DN	46	14	5	3
BROWNE_HCMV_INFECTION_24HR_UP	49	13	7	3
ATGCTGC_MIR103_MIR107	67	24	10	6
CACCAGC_MIR138	64	19	10	3
PID_MYC_REPRESS_PATHWAY	42	10	6	3
RNTCANNRNNYNATTW_UNKNOWN	39	9	3	2
BROWNE_HCMV_INFECTION_20HR_DN	57	19	8	2
SANA_TNF_SIGNALING_DN	45	12	3	2
PARK_HSC_VS_MULTIPOTENT_PROGENITORS_DN	30	6	3	1
YAGUE_PRETUMOR_DRUG_RESISTANCE_DN	29	6	2	2
PID_SYNDECAN_3_PATHWAY	36	7	4	2
PID_LPA4_PATHWAY	44	8	4	3
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_UP	68	19	9	7
GSE27786_LSK_VS_NEUTROPHIL_DN	54	15	7	2
GSE3982_EOSINOPHIL_VS_MAC_UP	41	9	4	2
GSE3920_UNTREATED_VS_IFNA_TREATED_ENDOTHELIAL_CELL_UP	43	11	3	3
GSE17721_LPS_VS_GARDIQUIMOD_1H_BMDC_DN	37	10	6	2
GSE3982_EOSINOPHIL_VS_TH2_DN	55	16	8	5
GSE8515_CTRL_VS_IL1_4H_STIM_MAC_UP	52	13	7	7
GSE22886_NAIVE_BCELL_VS_BM_PLASMA_CELL_UP	53	19	10	4
FARMER_BREAST_CANCER_BASAL_VS_LULMINAL	60	19	9	3
GSE27859_DC_VS_CD11C_INT_F480_INT_DC_UP	54	17	9	2
GSE37534_UNTREATED_VS_PIOGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP	50	11	4	2
GSE41867_NAIVE_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_DN	53	16	8	4
GSE2405_0H_VS_1.5H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	45	9	5	3
GSE1925_CTRL_VS_24H_IFNG_STIM_MACROPHAGE_UP	52	14	6	3
GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY8_EFFECTOR_CD8_TCELL_UP	57	17	8	4
SMAD3_Q6	57	18	8	4
REACTOME_MRNA_PROCESSING	42	8	3	2
GSE41867_DAY8_EFFECTOR_VS_DAY30_MEMORY_CD8_TCELL_LCMV_ARMSTRONG_DN	59	16	8	4
GSE24972_MARGINAL_ZONE_BCELL_VS_FOLLICULAR_BCELL_IRF8_KO_UP	52	13	6	4
GSE22886_IGA_VS_IGM_MEMORY_BCELL_DN	49	12	4	2
GSE360_DC_VS_MAC_M_TUBERCULOSIS_UP	52	15	7	4
GSE11924_TH1_VS_TH2_CD4_TCELL_DN	48	17	9	3
GSE7852_THYMUS_VS_FAT_TCONV_UP	57	17	10	4
GSE8868_SPLEEN_VS_INTESTINE_CD11B_POS_CD11C_NEG_DC_DN	41	17	9	4
GSE22886_NAIVE_VS_IGG_IGA_MEMORY_BCELL_DN	39	13	7	2
GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_IRF4MID_BCELL_UP	54	16	8	4
GSE5679_PPARG_LIGAND_ROSIGLITAZONE_VS_ROSIGLITAZONE_AND_RARA_AGONIST_AM580_TREATED_DC_DN	56	19	8	5
GSE21927_SPLEEN_C57BL6_VS_4T1_TUMOR_BALBC_MONOCYTES_UP	38	12	5	4
GSE6875_TCONV_VS_FOXP3_KO_TREG_UP	53	16	8	4
GSE43863_NAIVE_VS_MEMORY_LY6C_INT_CXCR5POS_CD4_TCELL_D150_LCMV_UP	55	16	6	3
GSE15659_NONSUPPRESSIVE_TCELL_VS_ACTIVATED_TREG_DN	36	10	4	2
GSE27786_LSK_VS_LIN_NEG_CELL_UP	50	14	5	2
GSE27786_LIN_NEG_VS_CD8_TCELL_UP	48	10	3	2
GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_DN	40	13	6	3
GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_30MIN_DN	49	11	4	2
GSE6674_ANTI_IGM_VS_ANTI_IGM_AND_CPG_STIM_BCELL_UP	45	13	6	3
GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_DN	43	11	4	3
GSE23505_IL6_IL1_VS_IL6_IL1_TGFB_TREATED_CD4_TCELL_UP	54	15	6	3
GSE36392_EOSINOPHIL_VS_MAC_IL25_TREATED_LUNG_UP	46	12	5	3
GSE16385_ROSIGLITAZONE_VS_UNTREATED_IFNG_TNF_STIM_MACROPHAGE_UP	58	16	8	2
RAO_BOUND_BY_SALL4_ISOFORM_A	57	19	7	4
YAATNRNNNYNATT_UNKNOWN	56	15	6	3
BIOCARTA_AGR_PATHWAY	42	8	3	2
ZUCCHI_METASTASIS_DN	24	10	5	2
WILCOX_RESPONSE_TO_PROGESTERONE_DN	51	16	7	2
GGCKCATGS_UNKNOWN	46	13	6	2
PID_FAS_PATHWAY	32	7	3	1
BOYAULT_LIVER_CANCER_SUBCLASS_G1_DN	44	10	3	2
VALK_AML_WITH_CEBPA	32	10	7	2
ZHAN_EARLY_DIFFERENTIATION_GENES_DN	43	12	7	3
PID_FAK_PATHWAY	30	10	5	3
NUTT_GBM_VS_AO_GLIOMA_DN	41	8	4	2
REACTOME_GABA_B_RECEPTOR_ACTIVATION	44	9	4	2
GSE6269_FLU_VS_E_COLI_INF_PBMC_UP	43	10	4	2
GSE16266_LPS_VS_HEATSHOCK_AND_LPS_STIM_MEF_UP	51	13	7	3
GSE9037_CTRL_VS_LPS_1H_STIM_BMDM_UP	42	9	5	2
GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_12H_DN	56	15	7	4
GSE28130_ACTIVATED_VS_INDUCEED_TREG_UP	47	14	9	4
GSE5455_HEALTHY_VS_TUMOR_BEARING_MOUSE_SPLEEN_MONOCYTE_UP	56	17	9	4
GSE23505_UNTREATED_VS_4DAY_IL6_IL1_TGFB_TREATED_CD4_TCELL_DN	46	10	7	3
GSE3982_CENT_MEMORY_CD4_TCELL_VS_TH1_UP	49	17	9	5
GSE17721_CTRL_VS_PAM3CSK4_24H_BMDC_DN	46	10	5	3
GSE3982_BCELL_VS_TH2_UP	34	9	3	2
GSE17721_LPS_VS_POLYIC_8H_BMDC_UP	48	12	4	2
GSE27241_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP	45	14	6	4
GSE39022_LN_VS_SPLEEN_DC_UP	50	13	8	4
GSE27241_WT_CTRL_VS_DIGOXIN_TREATED_RORGT_KO_CD4_TCELL_IN_TH17_POLARIZING_CONDITIONS_UP	52	16	8	2
GSE17721_CTRL_VS_GARDIQUIMOD_12H_BMDC_DN	47	11	6	2
GSE17721_0.5H_VS_24H_GARDIQUIMOD_BMDC_DN	42	10	4	3
GSE7460_CTRL_VS_FOXP3_OVEREXPR_TCONV_DN	52	14	7	4
GSE5589_WT_VS_IL10_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP	38	12	6	2
GSE40685_NAIVE_CD4_TCELL_VS_FOXP3_KO_TREG_PRECURSOR_UP	48	9	4	3
GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_UP	42	15	6	3
GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_UP	45	12	7	3
GSE11057_EFF_MEM_VS_CENT_MEM_CD4_TCELL_DN	51	14	8	3
GSE17721_PAM3CSK4_VS_GADIQUIMOD_1H_BMDC_DN	42	11	3	2
GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_DN	54	17	8	3
GSE19825_CD24LOW_VS_IL2RA_HIGH_DAY3_EFF_CD8_TCELL_UP	49	14	7	3
GSE39152_CD103_NEG_VS_POS_MEMORY_CD8_TCELL_DN	48	14	7	2
GSE28726_NAIVE_VS_ACTIVATED_VA24NEG_NKTCELL_UP	52	15	7	4
GSE11961_GERMINAL_CENTER_BCELL_DAY7_VS_MEMORY_BCELL_DAY40_UP	48	10	3	2
GSE17721_CTRL_VS_LPS_6H_BMDC_UP	57	16	6	2
IVANOVA_HEMATOPOIESIS_LATE_PROGENITOR	60	18	10	6
HALLMARK_ANDROGEN_RESPONSE	46	9	6	2
WANG_HCP_PROSTATE_CANCER	41	9	5	2
BONCI_TARGETS_OF_MIR15A_AND_MIR16_1	57	16	8	4
ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP	61	22	11	4
PR_01	53	15	7	4
STAT5A_02	55	16	7	2
T3R_Q6	63	18	7	6
CAGCTTT_MIR320	65	23	7	4
GSE4142_NAIVE_VS_MEMORY_BCELL_UP	39	12	5	2
GSE19941_UNSTIM_VS_LPS_STIM_IL10_KO_NFKBP50_KO_MACROPHAGE_UP	44	11	5	4
GSE32533_WT_VS_MIR17_KO_ACT_CD4_TCELL_DN	48	10	6	2
GSE2770_UNTREATED_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_48H_UP	55	14	6	4
GSE35825_UNTREATED_VS_IFNG_STIM_MACROPHAGE_DN	53	10	4	3
GSE7831_UNSTIM_VS_CPG_STIM_PDC_4H_DN	49	10	3	2
GSE30083_SP1_VS_SP4_THYMOCYTE_UP	47	12	6	3
KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_DN	57	16	8	4
ROME_INSULIN_TARGETS_IN_MUSCLE_DN	49	14	6	2
E2F1_UP.V1_DN	57	17	10	4
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_CORD_BLOOD_DN	49	11	6	2
GSE40273_EOS_KO_VS_WT_TREG_UP	48	10	5	2
GSE11961_GERMINAL_CENTER_BCELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY40_DN	48	11	5	4
HUTTMANN_B_CLL_POOR_SURVIVAL_DN	54	15	6	5
GTGTGAG_MIR342	45	11	6	3
LEE_METASTASIS_AND_ALTERNATIVE_SPLICING_UP	47	10	4	3
GSE9006_TYPE_1_DIABETES_AT_DX_VS_4MONTH_POST_DX_PBMC_DN	47	9	4	3
SENESE_HDAC1_AND_HDAC2_TARGETS_DN	59	16	8	5
PAX_Q6	67	23	10	6
GSE37532_VISCERAL_ADIPOSE_TISSUE_VS_LN_DERIVED_TREG_CD4_TCELL_DN	58	16	7	5
GSE14308_TH2_VS_INDUCED_TREG_DN	53	13	7	4
GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_DN	40	12	7	3
GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_UP	53	17	8	3
GSE19923_WT_VS_HEB_KO_DP_THYMOCYTE_UP	60	19	10	2
HUANG_GATA2_TARGETS_UP	41	11	4	2
GSE557_CIITA_KO_VS_I_AB_KO_DC_UP	45	15	10	4
GSE369_PRE_VS_POST_IL6_INJECTION_IFNG_WT_LIVER_DN	52	17	7	4
GSE369_PRE_VS_POST_IL6_INJECTION_IFNG_KO_LIVER_UP	57	15	6	4
GSE360_L_DONOVANI_VS_T_GONDII_DC_DN	49	11	4	3
GSE37301_MULTIPOTENT_PROGENITOR_VS_COMMON_LYMPHOID_PROGENITOR_DN	55	15	9	5
GSE37301_GRANULOCYTE_MONOCYTE_PROGENITOR_VS_RAG2_KO_NK_CELL_DN	49	12	5	3
GSE3982_MAST_CELL_VS_MAC_DN	53	18	7	2
GSE2585_THYMIC_DC_VS_MTEC_UP	48	10	6	2
GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH1_UP	50	14	8	3
GSE3982_BCELL_VS_NKCELL_DN	54	16	9	4
GSE22886_IGA_VS_IGM_MEMORY_BCELL_UP	51	15	7	3
LTE2_UP.V1_DN	55	15	5	2
GSE17721_POLYIC_VS_CPG_6H_BMDC_DN	48	11	5	4
GSE17721_LPS_VS_PAM3CSK4_6H_BMDC_DN	50	12	7	2
HALLMARK_HYPOXIA	45	11	4	2
GSE13411_NAIVE_VS_MEMORY_BCELL_UP	56	19	8	4
GSE17721_POLYIC_VS_PAM3CSK4_24H_BMDC_DN	56	14	6	3
KEGG_CALCIUM_SIGNALING_PATHWAY	51	14	8	5
HALLMARK_MTORC1_SIGNALING	47	12	5	2
GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_NFATC1_KO_16H_DN	44	12	4	2
GSE21546_WT_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP	45	11	5	2
GSE37533_PPARG1_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_UP	42	10	5	2
GSE21379_WT_VS_SAP_KO_CD4_TCELL_DN	42	12	5	3
GSE20198_IL12_VS_IL12_IL18_TREATED_ACT_CD4_TCELL_UP	42	8	4	2
GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_72H_CD4_TCELL_DN	46	12	5	4
CCTGCTG_MIR214	61	18	9	5
VERRECCHIA_DELAYED_RESPONSE_TO_TGFB1	43	11	6	2
BILBAN_B_CLL_LPL_DN	31	9	5	2
KINSEY_TARGETS_OF_EWSR1_FLII_FUSION_DN	58	17	6	3
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	48	13	6	4
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2	57	16	7	4
KAYO_AGING_MUSCLE_UP	61	17	10	4
REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN	39	6	3	2
chr15q23	22	9	3	2
MATZUK_IMPLANTATION_AND_UTERINE	37	10	5	3
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN	10	6	2	1
NIKOLSKY_BREAST_CANCER_7P22_AMPLICON	31	8	4	3
HUI_MAPK14_TARGETS_UP	27	7	3	2
chr11q11	45	10	6	3
GSE17721_0.5H_VS_12H_PAM3CSK4_BMDC_DN	53	12	7	4
GSE2826_WT_VS_XID_BCELL_UP	47	13	6	3
GSE17721_CTRL_VS_POLYIC_8H_BMDC_DN	50	12	4	3
GSE17721_0.5H_VS_4H_CPG_BMDC_UP	44	8	4	2
GSE40274_FOXP3_VS_FOXP3_AND_EOS_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	42	10	5	2
GSE17721_POLYIC_VS_GARDIQUIMOD_4H_BMDC_UP	38	8	4	2
GSE2770_UNTREATED_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_48H_DN	56	14	6	5
GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_17H_UP	43	14	6	2
GSE17301_IFNA2_VS_IFNA5_STIM_ACD3_ACD28_ACT_CD8_TCELL_UP	49	15	7	4
GSE45365_CTRL_VS_MCMV_INFECTION_NK_CELL_UP	42	10	5	3
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	53	18	9	5
GSE21546_SAP1A_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_UP	50	14	9	4
GSE19888_CTRL_VS_TCELL_MEMBRANES_ACT_MAST_CELL_PRETREAT_A3R_INH_DN	47	15	6	3
GSE6092_IFNG_VS_IFNG_AND_B_BURGDORFERI_INF_ENDOTHELIAL_CELL_UP	46	10	4	2
GSE3039_ALPHAALPHA_VS_ALPHABETA_CD8_TCELL_DN	43	13	6	4
GSE411_UNSTIM_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_UP	46	11	6	3
GSE7219_WT_VS_NIK_NFKB2_KO_DC_UP	48	13	8	3
GSE17721_LPS_VS_POLYIC_6H_BMDC_DN	51	11	6	2
GSE14350_IL2RB_KO_VS_WT_TEFF_UP	56	17	9	3
